county,pin_normalized,sale_date,sale_price,document_number,deed_type,is_arms_length,confidence_score,address_normalized,building_sqft,year_built,bedrooms,bathrooms,lot_sqft,assessed_value
cook,18183020130000,2013-06-28,650000.0,1322426084,other,false,3,,3735,1978,4,2.5,,64597.0
cook,18183020130000,2022-08-30,1250000.0,2228455060,warranty,true,3,,3735,,,,,76365.0
cook,18183020190000,2021-02-02,527000.0,2105407250,warranty,false,2,,2208,1979,4,2.5,,52701.0
cook,18183020190000,2020-06-24,527000.0,2023001021,trustee,false,3,,2208,1979,4,2.5,,70971.0
cook,18183040120000,2019-11-12,21500.0,2018121004,warranty,true,3,,3471,1984,6,3.0,,69893.0
cook,18183060030000,2018-02-01,740000.0,1804044045,warranty,true,3,,4465,1964,6,3.5,,92243.0
cook,18191020040000,2019-06-04,250000.0,1916212036,other,false,3,,3741,1989,4,3.5,,74025.0
cook,18191020040000,2022-06-15,825000.0,2218121406,trustee,false,3,,3741,,,,,77966.0
cook,18311050060000,2018-12-05,750000.0,1834033068,trustee,false,3,,3911,1985,4,3.5,,88372.0
cook,18311080010000,2023-04-05,975000.0,2311029016,warranty,true,3,,3189,,,,,94000.0
cook,18312110460000,2013-12-01,752500.0,1335255002,other,false,2,,,,,,,2199.0
cook,18313050110000,2021-12-03,202500.0,2135408164,trustee,false,2,,,,,,,21750.0
cook,18183040120000,2019-05-21,1.0,1916946007,other,false,2,,3471,1984,6,3.0,,69893.0
cook,18191020160000,2019-11-13,56200.0,2202019014,warranty,true,3,,,,,,,50572.0
cook,18191030450000,2019-09-27,1.0,1928446118,quit_claim,false,2,,4453,1987,4,4.5,,67250.0
cook,18191030450000,2017-11-09,575000.0,1731846115,warranty,true,3,,4453,1987,4,4.5,,119015.0
cook,18191030540000,2016-10-03,2575000.0,1627822042,warranty,true,3,,6696,2010,5,8.0,,138082.0
cook,18191030710000,2015-06-09,2050000.0,1519722017,warranty,true,3,,,,,,,8024.0
cook,18191030710000,2022-03-18,6900000.0,2208706174,trustee,false,3,,8305,,,,,184809.0
cook,18193010050000,2017-07-01,2900000.0,1720508177,warranty,true,2,,,,,,,355394.0
cook,18193020060000,2016-04-29,500000.0,1612610085,trustee,false,3,,2645,1973,4,2.0,,43369.0
cook,18193020100000,2013-10-08,550000.0,1330415014,warranty,true,3,,3396,1969,3,2.5,,67601.0
cook,18193040010000,2020-06-29,545000.0,2025939029,warranty,true,3,,2448,1966,4,2.5,,53942.0
cook,18193040020000,2017-04-25,535000.0,1712406110,warranty,true,3,,2896,1972,4,2.5,,53500.0
cook,18193040060000,2024-11-27,680000.0,2433918139,trustee,false,3,,3458,,,,,69001.0
cook,18193040060000,2022-12-15,337500.0,2236241103,trustee,false,3,,3458,,,,,62024.0
cook,18193040100000,2021-09-24,635000.0,2127708183,warranty,true,3,,3033,1966,5,4.0,,62653.0
cook,18193040100000,2016-04-29,525000.0,1616150091,trustee,false,3,,3033,1966,5,4.0,,49026.0
cook,18193050060000,2017-09-28,590000.0,1728417091,warranty,true,3,,3602,1986,4,2.5,,75547.0
cook,18193080210000,2024-06-06,650000.0,2417014531,warranty,true,3,,2220,,,,,48689.0
cook,18193080220000,2020-12-17,420000.0,2102655292,trustee,false,3,,2809,1990,3,2.5,,52105.0
cook,18193080260000,2018-03-09,425000.0,1807446215,warranty,true,3,,2220,1989,3,3.5,,54031.0
cook,18193080340000,2024-05-17,650000.0,2415820290,warranty,true,3,,2607,,,,,55000.0
cook,18301010020000,2022-06-16,875000.0,2217328001,warranty,true,3,,2336,,,,,74493.0
cook,18301010120000,2019-09-01,877415.0,1928046208,warranty,true,2,,3353,2018,3,2.5,,26892.0
cook,18302010180000,2022-06-23,395000.0,2221713091,trustee,false,2,,2446,,,,,39694.0
cook,18302010200000,2022-06-23,395000.0,2221713091,trustee,false,2,,768,,,,,20266.0
cook,18302010440000,2020-12-19,252000.0,2102617068,trustee,false,2,,,,,,,1490.0
cook,18302050010000,2017-02-01,1.0,1703322137,quit_claim,false,2,,1736,1956,4,2.0,,40507.0
cook,18302050010000,2016-06-09,405000.0,1618117072,warranty,true,3,,1736,1956,4,2.0,,27526.0
cook,18302050060000,2021-08-02,110000.0,2127125177,trustee,false,3,,1444,1954,3,1.0,,28218.0
cook,18302050060000,2022-04-11,270000.0,2229233026,trustee,false,3,,1444,,,,,28218.0
cook,18302060100000,2015-12-02,375000.0,1600517006,trustee,false,3,,2109,1958,4,2.0,,30781.0
cook,18302070070000,2020-05-07,245000.0,2018147009,warranty,true,3,,809,1953,3,1.0,,15915.0
cook,18302080060000,2017-11-27,1.0,1733344029,quit_claim,false,2,,1403,1956,3,1.0,,32335.0
cook,18302080100000,2023-01-30,320000.0,2306657018,warranty,true,3,,3782,,,,,69000.0
cook,18302080310000,2015-09-14,605236.0,1527544060,other,false,3,,3180,1996,4,2.5,,45391.0
cook,18302080310000,2016-01-13,725000.0,1601449095,warranty,true,3,,3180,1996,4,2.5,,45391.0
cook,18303020040000,2023-12-29,6750000.0,2401722024,other,false,2,,,,,,,87360.0
cook,18303060320000,2013-04-01,0.0,1311516070,other,false,1,,4820,1999,4,4.0,,114758.0
cook,18303060420000,2018-12-26,1.0,1925934099,quit_claim,false,2,,5557,2004,5,6.0,,152270.0
cook,18303060420000,2022-08-26,2066725.0,2224204315,warranty,true,3,,5557,,,,,98388.0
cook,18303060420000,2017-12-07,2000000.0,1735249337,warranty,true,3,,5557,2004,5,6.0,,152270.0
cook,18303060480000,2017-09-13,1100000.0,1726115039,warranty,true,3,,7227,1992,6,4.5,,193377.0
cook,18304010180000,2017-02-17,295000.0,1707918034,warranty,true,3,,1788,1956,4,1.5,,42909.0
cook,18304010300000,2015-12-11,490000.0,1600412020,warranty,true,3,,,,,,,46201.0
cook,18304010300000,2013-06-14,350000.0,1317816054,warranty,true,3,,,,,,,46201.0
cook,18304020010000,2020-03-17,575000.0,2015021189,warranty,true,3,,3888,1991,4,3.5,,71965.0
cook,18304020010000,2017-06-14,680000.0,1716655086,warranty,true,3,,3888,1990,4,3.5,,86855.0
cook,18304030160000,2024-04-12,957000.0,2410824076,trustee,false,3,,3390,,,,,71000.0
cook,18304050010000,2019-12-10,395000.0,1935208361,warranty,true,3,,1446,1956,3,1.0,,32861.0
cook,18304060070000,2013-01-23,500000.0,1303535026,other,false,3,,4183,2008,4,4.0,,76785.0
cook,18304060070000,2022-10-17,1325000.0,2229445092,warranty,true,3,,4183,,,,,75990.0
cook,18304060130000,2023-11-27,865000.0,2335313159,executor,false,2,,3671,,,,,84000.0
cook,18304060130000,2020-09-25,345000.0,2031710039,warranty,true,3,,3671,1956,5,2.5,,55424.0
cook,18304070050000,2018-10-02,623000.0,1833257032,trustee,false,3,,2853,1981,4,2.5,,68100.0
cook,18304070230000,2014-09-03,745000.0,1426917006,warranty,true,3,,3806,1986,4,3.5,,72117.0
cook,18304080150000,2020-05-26,571000.0,2020233257,warranty,true,3,,2806,1982,4,2.5,,60864.0
cook,18304080180000,2020-06-10,1.0,2020239190,other,false,2,,3990,1983,4,3.5,,72050.0
cook,18304080240000,2014-10-23,580000.0,1430347046,warranty,true,3,,4108,1986,4,2.5,,71096.0
cook,18304090090000,2020-07-20,665000.0,2029620203,warranty,true,3,,3326,1983,4,3.5,,60120.0
cook,18304100080000,2014-06-20,460000.0,1427422025,trustee,false,3,,2609,1980,4,2.0,,57575.0
cook,18304100090000,2022-03-08,895000.0,2207721105,warranty,true,3,,4236,,,,,68353.0
cook,18304100090000,2019-09-26,840000.0,1927457073,trustee,false,3,,4236,1983,4,3.5,,73384.0
cook,18311030140000,2020-07-28,1050000.0,2028234187,trustee,false,3,,5559,1998,5,3.5,,157965.0
cook,18311030200000,2021-10-21,1200000.0,2129933271,trustee,false,3,,3416,1987,4,3.5,,94066.0
cook,18311060150000,2014-09-15,715000.0,1428241009,warranty,true,3,,4231,1986,4,2.5,,92875.0
cook,18311090030000,2013-09-06,1225000.0,1327701006,warranty,true,3,,4440,2010,4,3.5,,16731.0
cook,18312100040000,2023-07-24,1425000.0,2320713249,warranty,true,3,,4666,,,,,98000.0
cook,18312110050000,2013-01-01,680000.0,1305349047,other,false,2,,2633,2010,2,2.5,,85895.0
cook,18312110070000,2015-07-31,900000.0,1521916035,warranty,true,3,,3514,2010,4,3.0,,72725.0
cook,18312110070000,2013-01-01,757000.0,1303855013,other,false,2,,3514,2010,4,3.0,,102123.0
cook,18312110160000,2013-06-01,856000.0,1316349035,other,false,2,,,,,,,2206.0
cook,18312110190000,2013-11-01,794444.0,1332229112,other,false,2,,,,,,,2199.0
cook,18312110290000,2013-08-01,771500.0,1324755007,other,false,2,,,,,,,2199.0
cook,18312110290000,2022-08-15,925000.0,2223113172,trustee,false,3,,2666,,,,,67766.0
cook,18312110400000,2014-02-01,794500.0,1404519108,other,false,2,,,,,,,2077.0
cook,18312110400000,2022-09-21,1075000.0,2227245110,trustee,false,3,,3379,,,,,69727.0
cook,18312110450000,2013-05-01,794444.0,1313639073,other,false,2,,,,,,,2076.0
cook,18312110540000,2013-08-01,794444.0,1323339115,other,false,2,,,,,,,2077.0
cook,18312110540000,2019-01-11,950000.0,1903218085,warranty,true,3,,3495,2013,4,2.5,,99390.0
cook,18312110540000,2014-07-01,992500.0,1420249000,other,false,2,,3495,2013,4,2.5,,53977.0
cook,18312110540000,2022-03-25,1100000.0,2209421184,warranty,true,3,,3495,,,,,84253.0
cook,18313000050000,2024-06-27,2275000.0,2419302339,warranty,true,3,,4962,,,,,155760.0
cook,18313000070000,2015-01-21,895000.0,1503333024,trustee,false,3,,3100,1949,5,4.0,,69562.0
cook,18313000160000,2026-02-20,400000.0,2605630125,trustee,false,3,,,,,,,
